career,interests,strengths,field,education,learning_rate,time_horizon,risk_tolerance
Software Engineer,"Tech, APIs, Logic, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, APIs, Math, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, Logic, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, Logic, Math, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, Math, Coding","Adaptability, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, Logic, Math, Coding","Adaptability, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, APIs, Math, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, Logic, Math, Coding","Adaptability, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, APIs, Math, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, APIs, Logic, Coding","Adaptability, Problem Solving",Commerce,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, Math, Coding","Adaptability, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, APIs, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, APIs, Logic, Coding","Adaptability, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, APIs, Coding","Adaptability, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, Math, Coding","Adaptability, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, APIs, Logic, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, Math, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, APIs, Math, Coding","Focus, Problem Solving",Arts,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, APIs, Coding","Adaptability, Problem Solving",Science,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, APIs, Math, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, Math, Logic, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, Math, Coding","Adaptability, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, Logic, Math, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, APIs, Logic, Coding","Adaptability, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, Logic, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, Math, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, APIs, Math, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, Math, Coding","Adaptability, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, APIs, Math, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, APIs, Logic, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, APIs, Coding","Focus, Problem Solving",Commerce,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, APIs, Coding","Adaptability, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, APIs, Math, Coding","Adaptability, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, APIs, Logic, Coding","Adaptability, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, Math, Coding","Adaptability, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, APIs, Math, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, Logic, Math, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, Logic, Math, Coding","Adaptability, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, APIs, Coding","Adaptability, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, Math, Logic, Coding","Adaptability, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, APIs, Math, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, Logic, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, APIs, Logic, Coding","Adaptability, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, APIs, Logic, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, Math, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, Math, Coding","Adaptability, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, Logic, Math, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, Logic, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, Logic, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, APIs, Logic, Coding","Adaptability, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, APIs, Logic, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, APIs, Logic, Coding","Adaptability, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, Logic, Coding","Adaptability, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, Math, Logic, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, APIs, Math, Coding","Adaptability, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, Math, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, APIs, Math, Coding","Adaptability, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, Logic, Coding","Adaptability, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, Math, Coding","Adaptability, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, APIs, Logic, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, APIs, Coding","Adaptability, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, APIs, Logic, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, Math, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, APIs, Logic, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, Math, Coding","Adaptability, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, Math, Coding","Adaptability, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, APIs, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, APIs, Math, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, APIs, Logic, Coding","Adaptability, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, Logic, Coding","Adaptability, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, Math, Logic, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, APIs, Coding","Adaptability, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, APIs, Logic, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, Logic, Math, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, APIs, Math, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, Math, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, APIs, Math, Coding","Focus, Problem Solving",Arts,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, APIs, Coding","Adaptability, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, APIs, Logic, Coding","Adaptability, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, Logic, Math, Coding","Adaptability, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
Software Engineer,"Tech, Math, Logic, Coding","Adaptability, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Medium
Software Engineer,"Tech, APIs, Coding","Focus, Problem Solving",Tech,Bachelor's,Fast,Short (1-2 yrs),Low
